from,to,straight_line_distance,driving_distance
"San Francisco, California","Washington, District of Columbia",2435.09,2831.5
"San Francisco, California","Detroit, Michigan",0.0,2396.9
"San Francisco, California","Salt Lake City, Utah",600.0,736.0
"Cleveland, Ohio","Brooklyn, New York",407.53,469.0
"Cleveland, Ohio","Los Angeles, California",2044.81,2344.0
"Cleveland, Ohio","Memphis, Tennessee",651.0,721.4
"Cleveland, Ohio","Boston, Massachusetts",549.56,639.0
"Cleveland, Ohio","Phoenix, Arizona",1745.65,2000.3
"Cleveland, Ohio","Orlando, Florida",1037.0,1052.9
"Cleveland, Ohio","New Orleans, Louisiana",924.0,1053.0
"Cleveland, Ohio","Miami, Florida",1089.89,1240.74
"Cleveland, Ohio","Charlotte, North Carolina",700.0,515.0
"Cleveland, Ohio","Indianapolis, Indiana",262.71,315.38
"Cleveland, Ohio","Portland, Oregon",3858.0,2448.0
"Cleveland, Ohio","Washington, District of Columbia",373.0,372.8
"Cleveland, Ohio","Detroit, Michigan",90.0,145.8
"Cleveland, Ohio","Salt Lake City, Utah",1590.0,1724.0
"Brooklyn, New York","Los Angeles, California",2454.0,2796.0
"Brooklyn, New York","Memphis, Tennessee",956.0,1104.0
"Brooklyn, New York","Boston, Massachusetts",190.51,217.0
"Brooklyn, New York","Phoenix, Arizona",2147.0,2479.0
"Brooklyn, New York","Orlando, Florida",936.56,1081.55
"Brooklyn, New York","New Orleans, Louisiana",1156.57,1313.0
"Brooklyn, New York","Miami, Florida",0.0,1287.0
"Brooklyn, New York","Charlotte, North Carolina",854.0,636.0
"Brooklyn, New York","Indianapolis, Indiana",646.44,730.0
"Brooklyn, New York","Portland, Oregon",2484.0,2899.0
"Brooklyn, New York","Washington, District of Columbia",204.0,232.0
"Brooklyn, New York","Detroit, Michigan",486.0,621.0
"Brooklyn, New York","Salt Lake City, Utah",1972.0,2185.6
"Los Angeles, California","Memphis, Tennessee",2433.153,1794.0
"Los Angeles, California","Boston, Massachusetts",2590.84,2991.3
"Los Angeles, California","Phoenix, Arizona",356.83,372.21
"Los Angeles, California","Orlando, Florida",2202.0,2532.0
"Los Angeles, California","New Orleans, Louisiana",1669.19,1894.0
"Los Angeles, California","Miami, Florida",2335.14,2748.3
"Los Angeles, California","Charlotte, North Carolina",2412.0,2411.0
"Los Angeles, California","Indianapolis, Indiana",1805.89,2061.0
"Los Angeles, California","Portland, Oregon",826.43,964.0
"Los Angeles, California","Washington, District of Columbia",2299.0,2669.0
"Los Angeles, California","Detroit, Michigan",1979.3,2281.0
"Los Angeles, California","Salt Lake City, Utah",580.0,689.0
"Memphis, Tennessee","Boston, Massachusetts",1157.0,1315.0
"Memphis, Tennessee","Phoenix, Arizona",1564.0,1424.0
"Memphis, Tennessee","Orlando, Florida",822.0,750.4
"Memphis, Tennessee","New Orleans, Louisiana",358.24,395.0
"Memphis, Tennessee","Miami, Florida",873.0,1045.0
"Memphis, Tennessee","Charlotte, North Carolina",125.0,619.0
"Memphis, Tennessee","Indianapolis, Indiana",383.79,464.0
"Memphis, Tennessee","Portland, Oregon",3433.0,2245.0
"Memphis, Tennessee","Washington, District of Columbia",764.0,876.0
"Memphis, Tennessee","Detroit, Michigan",754.0,623.0
"Memphis, Tennessee","Salt Lake City, Utah",2445.3,1524.0
"Boston, Massachusetts","Phoenix, Arizona",2295.12,2647.0
"Boston, Massachusetts","Orlando, Florida",1115.0,1302.7
"Boston, Massachusetts","New Orleans, Louisiana",1357.51,1523.0
"Boston, Massachusetts","Miami, Florida",1257.6,1496.3
"Boston, Massachusetts","Charlotte, North Carolina",721.0,847.0
"Boston, Massachusetts","Indianapolis, Indiana",1527.0,949.0
"Boston, Massachusetts","Portland, Oregon",2532.78,3095.02
"Boston, Massachusetts","Washington, District of Columbia",394.15,440.24
"Boston, Massachusetts","Detroit, Michigan",611.58,740.2
"Boston, Massachusetts","Salt Lake City, Utah",2099.0,2363.0
"Phoenix, Arizona","Orlando, Florida",2135.0,2135.0
"Phoenix, Arizona","New Orleans, Louisiana",1320.0,1491.0
"Phoenix, Arizona","Miami, Florida",2130.0,2357.0
"Phoenix, Arizona","Charlotte, North Carolina",3412.0,2089.0
"Phoenix, Arizona","Indianapolis, Indiana",1496.25,1699.0
"Phoenix, Arizona","Portland, Oregon",1175.0,1335.0
"Phoenix, Arizona","Washington, District of Columbia",1977.6,2263.57
"Phoenix, Arizona","Detroit, Michigan",1691.0,2007.0
"Phoenix, Arizona","Salt Lake City, Utah",505.34,666.0
"Orlando, Florida","New Orleans, Louisiana",534.0,639.0
"Orlando, Florida","Miami, Florida",205.0,234.0
"Orlando, Florida","Charlotte, North Carolina",525.9,524.0
"Orlando, Florida","Indianapolis, Indiana",821.0,971.0
"Orlando, Florida","Portland, Oregon",2532.0,3045.0
"Orlando, Florida","Washington, District of Columbia",757.0,846.0
"Orlando, Florida","Detroit, Michigan",955.0,1171.0
"Orlando, Florida","Salt Lake City, Utah",2297.8,2329.9
"New Orleans, Louisiana","Miami, Florida",668.79,875.2
"New Orleans, Louisiana","Charlotte, North Carolina",649.0,712.0
"New Orleans, Louisiana","Indianapolis, Indiana",712.49,839.7
"New Orleans, Louisiana","Portland, Oregon",0.0,2537.0
"New Orleans, Louisiana","Washington, District of Columbia",966.0,1096.8
"New Orleans, Louisiana","Detroit, Michigan",939.0,1058.6
"New Orleans, Louisiana","Salt Lake City, Utah",1455.0,1744.0
"Miami, Florida","Charlotte, North Carolina",654.27,729.0
"Miami, Florida","Indianapolis, Indiana",1026.32,1175.9
"Miami, Florida","Portland, Oregon",2450.0,3256.0
"Miami, Florida","Washington, District of Columbia",924.93,1053.78
"Miami, Florida","Detroit, Michigan",0.0,1394.0
"Miami, Florida","Salt Lake City, Utah",2086.87,2537.89
"Charlotte, North Carolina","Indianapolis, Indiana",428.0,576.0
"Charlotte, North Carolina","Portland, Oregon",0.0,2754.7
"Charlotte, North Carolina","Washington, District of Columbia",330.0,399.0
"Charlotte, North Carolina","Detroit, Michigan",655.6,629.0
"Charlotte, North Carolina","Salt Lake City, Utah",3483.4,2039.5
"Indianapolis, Indiana","Portland, Oregon",0.0,2263.0
"Indianapolis, Indiana","Washington, District of Columbia",490.89,576.0
"Indianapolis, Indiana","Detroit, Michigan",240.1,299.0
"Indianapolis, Indiana","Salt Lake City, Utah",1357.0,1540.0
"Portland, Oregon","Washington, District of Columbia",2353.0,2808.0
"Portland, Oregon","Detroit, Michigan",1970.0,2385.0
"Portland, Oregon","Salt Lake City, Utah",650.0,770.0
"Washington, District of Columbia","Detroit, Michigan",394.44,535.0
"Washington, District of Columbia","Salt Lake City, Utah",1871.0,2084.0
"Detroit, Michigan","Salt Lake City, Utah",0.0,1654.8
